"country","GI","pop2022"
"Chad","0.8514","17723315"
"Cameroon","0.8426","27914536"
"Nigeria","0.8306","218541212"
"Togo","0.8118","8848699"
"DR Congo","0.8111","99010212"
"Kenya","0.8091","54027487"
"Guinea-Bissau","0.7857","2105566"
"Republic of the Congo","0.7764","5970424"
"Ivory Coast","0.7723","28160542"
"Liberia","0.7694","5302681"
"Gambia","0.7666","2705992"
"Central African Republic","0.7414","5579144"
"Gabon","0.7379","2388992"
"Tanzania","0.7353","65497748"
"South Africa","0.7289","59893885"
"Guinea","0.7182","13859341"
"Suriname","0.7108","618040"
"Sudan","0.6961","46874204"
"Canada","0.6924","38454327"
"Qatar","0.6868","2695122"
"Benin","0.6845","13352864"
"Pakistan","0.6820","235824862"
"Angola","0.6721","35588987"
"Mali","0.6718","22593590"
"Senegal","0.6706","17316449"
"Zambia","0.6681","20017675"
"Bolivia","0.6671","12224110"
"Mozambique","0.6577","32969518.0000"
"Burkina Faso","0.6501","22673762"
"Ghana","0.6500","33475870.0000"
"Afghanistan","0.6478","41128771"
"Indonesia","0.6473","275501339"
"Belize","0.6436","405272"
"Niger","0.6409","26207977"
"Micronesia","0.6388","114164"
"India","0.6367","1417173173"
"United Arab Emirates","0.6246","9441129"
"Andorra","0.6022","79824"
"Kazakhstan","0.5976","19397998"
"Philippines","0.5894","115559009"
"Malaysia","0.5877","33938221"
"Malawi","0.5858","20405317"
"Mauritania","0.5843","4736139"
"Peru","0.5768","34049588"
"Bhutan","0.5751","782455"
"Iran","0.5750","88550570"
"Nepal","0.5718","30547580"
"Namibia","0.5501","2567012"
"Fiji","0.5459","929766"
"Eritrea","0.5458","3684032"
"Mexico","0.5418","127504125"
"Belgium","0.5374","11655930"
"Kuwait","0.5307","4268873"
"Djibouti","0.5235","1120849"
"Guyana","0.5198","808726"
"Latvia","0.5168","1850651"
"Moldova","0.5136","3272996"
"Guatemala","0.5112","17843908"
"Ethiopia","0.5067","123379924"
"Brunei","0.5007","449002"
"Switzerland","0.4960","8740472"
"Thailand","0.4958","71697030"
"Myanmar","0.4889","54179306"
"Tajikistan","0.4886","9952787"
"Estonia","0.4835","1326062"
"Georgia","0.4818","3744385"
"Ecuador","0.4800","18001000"
"Trinidad and Tobago","0.4783","1531044"
"Luxembourg","0.4782","647599"
"North Macedonia","0.4674","2093599.0000"
"Sierra Leone","0.4628","8605718"
"Bahrain","0.4576","1472233"
"Serbia","0.4573","7221365"
"Jordan","0.4558","11285869"
"Laos","0.4490","7529475"
"Morocco","0.4445","37457971"
"Mauritius","0.4350","1299469"
"Palau","0.4301","18055"
"Oman","0.4101","4576298"
"Sri Lanka","0.4074","21832143"
"Syria","0.4008","22125249"
"New Zealand","0.3925","5185288"
"Singapore","0.3857","5975689"
"France","0.3799","64626628"
"Kyrgyzstan","0.3747","6630623"
"Botswana","0.3670","2630296"
"Uganda","0.3630","47249585"
"Iraq","0.3627","44496122"
"Uzbekistan","0.3564","34627652"
"Bulgaria","0.3527","6781953"
"Libya","0.3466","6812341"
"Ukraine","0.3349","39701739"
"Liechtenstein","0.3275","39327"
"Equatorial Guinea","0.3252","1674908"
"Zimbabwe","0.3187","16320537"
"Algeria","0.3175","44903225"
"Mongolia","0.3101","3398366"
"Turkey","0.3100","85341241"
"Romania","0.2975","19659267"
"Madagascar","0.2943","29611714"
"Turkmenistan","0.2932","6430770"
"Lithuania","0.2901","2750055"
"Israel","0.2830","9038309"
"Spain","0.2816","47558630"
"San Marino","0.2808","33660"
"United States","0.2780","338289857"
"Papua New Guinea","0.2718","10142619"
"Bahamas","0.2642","409984"
"Taiwan","0.2487","23893394"
"Russia","0.2353","144713314"
"Vietnam","0.2350","98186856"
"Slovakia","0.2309","5643453"
"Jamaica","0.2208","2827377"
"Panama","0.2176","4408581"
"Croatia","0.2102","4030358"
"Albania","0.2086","2842321"
"Cambodia","0.2049","16767842"
"Azerbaijan","0.2032","10358074"
"Seychelles","0.2009","107118"
"Lesotho","0.2007","2305825"
"Belarus","0.1965","9534954"
"Chile","0.1861","19603733"
"Saudi Arabia","0.1800","36408820"
"Egypt","0.1793","110990103"
"El Salvador","0.1781","6336392"
"Greece","0.1768","10384971"
"Tuvalu","0.1629","11312"
"Germany","0.1625","83369843"
"Poland","0.1506","39857145"
"Hungary","0.1492","9967308"
"Paraguay","0.1490","6780744"
"Slovenia","0.1461","2119844"
"Denmark","0.1422","5882261"
"China","0.1379","1425887337"
"Lebanon","0.1262","5489739"
"Honduras","0.1250","10432860"
"Bosnia and Herzegovina","0.1199","3233526"
"Armenia","0.1195","2780469"
"Finland","0.1119","5540745"
"Solomon Islands","0.1110","724273"
"Somalia","0.1092","17597511"
"Netherlands","0.1053","17564014"
"Austria","0.0994","8939617"
"Nicaragua","0.0936","6948392"
"Antigua and Barbuda","0.0935","93763"
"Cyprus","0.0933","1251488"
"Australia","0.0929","26177413"
"United Kingdom","0.0901","67508936"
"Barbados","0.0875","281635"
"Ireland","0.0869","5023109"
"Tonga","0.0869","106858"
"Italy","0.0820","59037474"
"Saint Vincent and the Grenadines","0.0786","103948"
"Colombia","0.0774","51874024"
"Dominica","0.0715","72737"
"Saint Lucia","0.0711","179857"
"Iceland","0.0678","372899"
"Grenada","0.0667","125438"
"Hong Kong","0.0620","7488865"
"Marshall Islands","0.0600","41569"
"Czech Republic","0.0594","10493986"
"Costa Rica","0.0584","5180829"
"Sweden","0.0583","10549347"
"Saint Kitts and Nevis","0.0582","47657"
"Norway","0.0581","5434319"
"Eswatini","0.0579","1201670"
"Burundi","0.0506","12889576"
"Kiribati","0.0491","131232"
"Portugal","0.0451","10270865"
"Vanuatu","0.0405","326740"
"Venezuela","0.0392","28301696"
"North Korea","0.0392","26069416"
"Tunisia","0.0391","12356117"
"Malta","0.0294","533286"
"Cuba","0.0198","11212191"
"Bangladesh","0.0183","171186372"
"Brazil","0.0119","215313498"
"Japan","0.0119","123951692"
"Samoa","0.0078","222382"
"South Korea","0.0020","51815810"
"Argentina","0","45510318"
"Rwanda","0","13776698"
"Haiti","0","11584996"
"Dominican Republic","0","11228821"
"Uruguay","0","3422794"
"Comoros","0","836774"